Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-08-03 22:40:00,INT-30249/16,Parkowanie za B36,BEZPIECZEŃSTWO W KOMUNIKACJI,ŚLĘŻNA /,,0,2016-08-04 06:24:14
2016-08-03 21:40:00,INT-30251/16,Parkowanie na postoju TAXI bez uprawnień,BEZPIECZEŃSTWO W KOMUNIKACJI,NASYPOWA /,,0,2016-08-04 06:26:58
2016-08-03 14:20:00,INT-30265/16,parkowanie za B-36 oraz na P-21,BLOKADA,ZAPOROSKA /,,100,2016-08-04 07:57:48
2016-08-03 14:20:00,INT-30265/16,parkowanie za B-36 oraz na P-21,BLOKADA,ZAPOROSKA /,,50,2016-08-04 07:57:48
2016-08-03 16:30:00,INT-30451/16,Parkowanie za B-36,BLOKADA,SWOBODNA /,,50,2016-08-05 15:14:17
2016-08-03 16:30:00,INT-30451/16,Parkowanie za B-36,BLOKADA,SWOBODNA /,,100,2016-08-05 15:14:17
2016-08-03 10:40:00,INT-30167/16,stoisko handlowe na terenie gminnym,HANDEL,KRZYCKA /,MANDAT,50,2016-08-03 12:11:29
2016-08-03 11:05:00,INT-30169/16,stoisko handlowe ustawione na chodniku,HANDEL,OŁAWSKA /,MANDAT,100,2016-08-03 12:14:33
2016-08-03 10:15:00,INT-30168/16,stoisko handlowe na chodniku ,HANDEL,ŚW. MIKOŁAJA /,MANDAT,100,2016-08-03 12:13:05
2016-08-03 12:35:49,INT-30175/16,PARKOWANIE AUT NA CHODNIKU I TRAWNIKU,NIEPRAWIDŁOWE PARKOWANIE,PETUNIOWA 2/,,0,2016-08-03 13:30:25
2016-08-03 17:45:06,INT-30208/16,NA POSTOJU TAXI NIEUPRAWNIONE POJAZDY,NIEPRAWIDŁOWE PARKOWANIE,KOMANDORSKA /,,0,2016-08-03 18:34:03
2016-08-03 12:35:49,INT-30175/16,PARKOWANIE AUT NA CHODNIKU I TRAWNIKU,NIEPRAWIDŁOWE PARKOWANIE,PETUNIOWA 2/,,100,2016-08-03 13:30:25
