2017-04-28 09:37:47,INT-15516/17,A GROCHOWA HANDEL,HANDEL ,JEMIO?OWA / ,100,,2017-04-28 10:04:42
2017-04-28 10:42:36,INT-15525/17,NA MIEJSCU DLA,INWALIDY Z SKODY ZIELONEJ SPRZDAJE PAN JAKJA ,HANDEL ,BEZPIECZNA / ,500,2017-05-02 11:35:49
2017-04-28 10:57:14,INT-15527/17,NPARKOWANIE NA ZAKAZIE ,NIEPRAWID?OWE PARKOWANIE ,JANA STYKI I WOJCIECHA,KOSSAKA / ,100,2017-04-28 19:00:11
2017-04-28 10:57:54,INT-15528/17,a Smoluchowskiego pojazdy na,"chodniku, brak przej?cia ",NIEPRAWID?OWE PARKOWANIE ,?UKASIEWICZA / ,0,2017-04-28 12:58:06
2017-04-28 11:42:44,INT-15532/17,parkowanie pojazdów,na trawniku ,NISZCZENIE ZIELENI ,DU?SKA 7-13/ ,100,2017-04-28 17:59:27
2017-04-28 11:42:44,INT-15532/17,parkowanie pojazdów na trawniku,NISZCZENIE ZIELENI ,DU?SKA 7-13/ ,0,,2017-04-28 17:59:27
2017-04-28 15:05:00,INT-15943/17,a,"Szybowcowa, postój pojazdu na chodniku nie przy kraw?dzi z jezdni?",NIEPRAWID?OWE PARKOWANIE ,LOTNICZA / ,100,2017-05-04 16:58:01
2017-04-28 15:20:00,INT-15571/17,kontrola parkowania,za znakiem B-36 ,NIEPRAWID?OWE PARKOWANIE ,KAZIMIERZA WIELKIEGO / ,100,2017-04-28 15:52:45
2017-04-28 17:17:48,INT-15577/17,parkowanie na,zakaziekolejne zg?oszenie  ,NIEPRAWID?OWE PARKOWANIE ,?YCZLIWA / ,100,2017-04-28 19:35:52
2017-04-28 17:17:48,INT-15577/17,parkowanie na zakaziekolejne zg?oszenie  ,NIEPRAWID?OWE PARKOWANIE,?YCZLIWA / ,0,,2017-04-28 19:35:52
2017-04-28 19:52:42,INT-15596/17,"przy Bogus?awskiego,",na postoju taxi parkuj? pojazdy neuprawnione. ,NIEPRAWID?OWE PARKOWANIE,KOMANDORSKA / ,0,2017-04-28 21:11:46
2017-04-29 15:43:27,INT-15636/17,Parkowanie za B-36,przy Parku Skowronim (wjazd od ?l??nej). ,NIEPRAWID?OWE PARKOWANIE,DZIA?KOWA / ,0,2017-04-29 17:16:26
2017-04-29 16:45:18,INT-15638/17,OD 2 DNI ZAPARKOWANY,NA CA?EJ SZEROKOSCI CHODNIKA BUS.  ,NIEPRAWID?OWE PARKOWANIE ,NYSKA 25/ ,0,2017-04-29 22:08:07
2017-04-29 22:15:00,INT-15747/17,Parkowanie za B-36,BLOKADA ,KAZIMIERZA WIELKIEGO / ,100,,2017-05-02 06:34:43
2017-04-29 22:51:51,INT-15651/17,w strefie,zamieszkania 6 pojazdów w miejscu niewyznaczonym ,NIEPRAWID?OWE PARKOWANIE,PR?DZY?SKIEGO 46-63/ ,100,2017-04-30 00:32:49
2017-04-30 00:25:00,INT-16366/17,parkowanie w strefie,zamieszkania poza miejscami wyznaczonymi do parkowania ,BLOKADA,PR?DZY?SKIEGO / ,0,2017-05-09 10:51:49
2017-04-30 09:55:00,INT-15663/17,handel bez,zezwolenia ,HANDEL ,ROBOTNICZA / ,100,2017-04-30 12:10:20
2017-04-30 11:37:52,INT-15665/17,3 pojazdy zaparkowane,na chodniku utrudniaj? przejscie chodnikiem ,NIEPRAWID?OWE PARKOWANIE,SIKORSKIEGO 28/ ,0,2017-04-30 12:09:46
2017-04-30 11:43:55,INT-15666/17,VW GOLF CA?KOWICIE BLOKUJE CHODNIK ,NIEPRAWID?OWE PARKOWANIE,KATOWICKA 2/ ,100,,2017-05-02 18:58:15
2017-04-30 12:43:19,INT-15674/17,A UL. BUFOROWA,NIELEGALNY HANDEL TRUSKAWK? ORAZ SPOZYWANIE ALKOHOLU. ,HANDEL ,BARDZKA / ,50,2017-04-30 16:44:14
2017-04-30 13:05:46,INT-15676/17,OD,WRÓBLEWSKIEGO PARKOWANIE ZA B-36 ,NIEPRAWID?OWE PARKOWANIE ,WITTIGA / ,100,2017-05-02 16:35:50
2017-04-30 16:06:40,INT-15687/17,PARKOWANIE NA,KOPERCIE T-29 BEZ UPRAWNIE?. ,NIEPRAWID?OWE PARKOWANIE ,BISKUPIA / ,500,2017-04-30 16:58:05
2017-05-01 15:20:00,INT-15746/17,"Parkowanie na chodniku brak 1,5m przej?cia dla pieszych ",BLOKADA ,WIELKA /,0,,2017-05-02 06:25:28
2017-05-01 21:40:00,INT-15748/17,Parkowanie za B-36,NIEPRAWID?OWE PARKOWANIE ,?ACIARSKA / ,0,,2017-05-02 06:38:57
2017-05-02 08:30:00,INT-15784/17,Handel na terenie gminy ,HANDEL,STRZEGOMSKA / ,MANDAT ,100,2017-05-02 14:53:05
2017-05-02 12:20:00,INT-15864/17,osoba zebrzaca na rynku MKK-200,?EBRANIE ,RYNEK RATUSZ / ,MANDAT ,200,2017-05-04 06:06:40
2017-05-02 14:30:00,INT-15791/17,parkowanie na miejscu,dla inwalidy bez uprawnie? ,NIEPRAWID?OWE PARKOWANIE ,?ACIARSKA / ,500,2017-05-02 15:36:59
2017-05-02 14:30:00,INT-15791/17,parkowanie na miejscu dla inwalidy bez uprawnie? ,NIEPRAWID?OWE PARKOWANIE,?ACIARSKA / ,100,,2017-05-02 15:36:59
2017-05-02 15:00:00,INT-15792/17,parkowanie za B-36,BLOKADA ,KAZIMIERZA WIELKIEGO / ,0,,2017-05-02 15:39:03
2017-05-02 15:40:00,INT-15797/17,parkowanie za B-36 ,BLOKADA ,KO?CIELNA / ,0,,2017-05-02 16:09:03
2017-05-02 15:50:00,INT-15806/17,parkowanie na powierzchni wy??czonej z ruchu ,BLOKADA,W?ODKOWICA / ,0,,2017-05-02 18:09:17
2017-05-02 19:10:04,INT-21660/17,pismo  w sprawie,bezdomnych koczuj?cych przy nasypie kolejowym pod rurami CO ,BEZDOMNY,WYSOKA / ,0,2017-10-03 13:02:28
2017-05-03 07:17:32,INT-15825/17,pojazd zaparkowany za B-36,NIEPRAWID?OWE PARKOWANIE ,GAJOWICKA 94/ ,0,,2017-05-03 10:22:54
2017-05-03 10:19:09,INT-15829/17,PARKOWANIE POJAZDU,HONDA CIVIC W STREFIE RUCHU ZA ZNAKIEM B-36. ,NIEPRAWID?OWE PARKOWANIE,JESIONOWA 43/ ,0,2017-05-03 11:47:29
2017-05-03 12:49:59,INT-15834/17,POD ARKADAMI (STRONA,RENOMY) HANDEL WARZYWAMI ,HANDEL ,?WIDNICKA 46/ ,0,2017-05-03 15:23:06
2017-05-03 15:34:26,INT-15840/17,ZABLOKOWANY WYJAZD,PRZEZ PARKUJACE 2 POJAZDY. ,NIEPRAWID?OWE PARKOWANIE ,ODRZA?SKA 1/ ,0,2017-05-03 16:36:00
2017-05-03 15:43:26,INT-15841/17,"GODZ. 14.35 KONTROLA PARKOWANIA ZA B-1; ZA?O?ONO 5 BLOKAD, NA?O?ONO 5",MKK/300 I 1 POUCZENIE ,NIEPRAWID?OWE PARKOWANIE ,ALEJA D?BSKA / ,100,2017-05-06 12:20:41
2017-05-04 10:45:50,INT-15891/17,PARKOWANIE ZA B-36,NIEPRAWID?OWE PARKOWANIE ,MARCINKOWSKIEGO 1/ ,100,,2017-05-04 10:59:03
2017-05-04 10:45:50,INT-15891/17,PARKOWANIE ZA B-36,NIEPRAWID?OWE PARKOWANIE ,MARCINKOWSKIEGO 1/ ,0,,2017-05-04 10:59:03
2017-05-04 11:05:00,INT-15905/17,Kontrola parkowania,pojazdów na powierzchni wy??czonej z ruchu oraz P-21 ,BLOKADA ,NORWIDA / ,0,2017-05-04 12:09:38
2017-05-04 11:20:00,INT-15906/17,Kontrola parkowania pojazdów za znakiem B-35 ,BLOKADA ,WRO?SKIEGO / ,0,,2017-05-04 12:12:09
