2018-04-18 08:45:00,INT-16786/18,HANDEL ,HANDEL,JEMIO?OWA / ,MANDAT ,100,2018-04-18 15:19:22
2018-04-18 10:50:00,INT-16750/18,pojazd zaparkowany na,kopercie dla MWSE ,BLOKADA ,WRO?SKIEGO / ,100,2018-04-18 12:23:39
2018-04-18 10:55:00,INT-16751/18,na kopertach dla MWSE,2 pojazdy nieuprawnione ,BLOKADA ,WYSPIA?SKIEGO / ,0,2018-04-18 12:25:05
2018-04-18 12:51:20,INT-16758/18,parkowanie pojazdu,na ca?ej szer. chodnika przy ul.Grodzkiej ,NIEPRAWID?OWE PARKOWANIE,WI?ZIENNA / ,100,2018-04-18 16:29:22
2018-04-18 15:20:00,INT-18062/18,HANDEL ,HANDEL,PLAC LEGIONÓW / ,MANDAT ,50,2018-04-27 08:09:01
2018-04-18 16:50:00,INT-16753/18,PARKOWANIE POJAZDÓW ZA B-36 NA CHODNIKU,NIEPRAWID?OWE PARKOWANIE ,?OKIETKA / ,0,,2018-04-18 17:07:08
2018-04-18 17:00:00,INT-16828/18,Zadymienie terenu.,OGNISKO ,OSOBOWICKA / ,MANDAT ,100,2018-04-23 14:38:30
2018-04-18 22:15:00,INT-16856/18,A OFICERSKA,PARKOWANIE W ODLEG?O?CI MNIEJSZEJ NIZ 10 METRÓW OD SKRZY?OWANIA,NIEPRAWID?OWE PARKOWANIE ,JANTAROWA / ,300,2018-04-19 00:56:48
2018-04-18 22:15:00,INT-16856/18,A OFICERSKA,PARKOWANIE W ODLEG?O?CI MNIEJSZEJ NIZ 10 METRÓW OD SKRZY?OWANIA,NIEPRAWID?OWE PARKOWANIE ,JANTAROWA / ,0,2018-04-19 00:56:48
2018-04-19 08:17:33,INT-16870/18,Wed?ug zg?oszenia ul. Pi?sudskiego a,"S?dowa nielegalny handel wszystkim, spodnie , buty itp. ",HANDEL,PI?SUDSKIEGO JÓZEFA / ,100,2018-04-19 12:29:48
2018-04-19 08:40:00,INT-16945/18,NIESTOSOWANIE SIE DO ZNAKU B-41 ,BEZPIECZE?STWO W KOMUNIKACJI ,TRAUGUTTA /,50,,2018-04-19 13:17:27
2018-04-19 08:43:23,INT-16878/18,Przy s?upku MPK parkuj?cy pojazd ,NIEPRAWID?OWE PARKOWANIE ,GROCHOWA 28/ ,100,,2018-04-19 10:08:50
2018-04-19 08:58:22,INT-16882/18,handel z roztawionych na chodniku kartonów. ,HANDEL ,JEMIO?OWA / ,50,,2018-04-19 11:10:33
2018-04-19 09:00:00,INT-17020/18,Parkowanie za B36 ,NIEPRAWID?OWE PARKOWANIE ,KRAWIECKA / ,MANDAT ,100,2018-04-20 07:19:44
2018-04-19 10:32:01,INT-16901/18,pojazdy zaparkowany,na trawniku ,NISZCZENIE ZIELENI ,WA?KOWICZA 2/ ,50,2018-04-19 11:59:41
2018-04-19 11:12:32,INT-16913/18,przy Krupniczej pojazdy,parkuja w miejscu zakazu zatrzymywania. ,NIEPRAWID?OWE PARKOWANIE,W?ODKOWICA / ,100,2018-04-19 15:09:43
2018-04-19 11:13:21,INT-16914/18,"strona parzysta - parkowanie na chodniku, brak 1,5m",NIEPRAWID?OWE PARKOWANIE ,?OKIETKA / ,100,,2018-04-19 17:26:42
2018-04-19 12:08:13,INT-16925/18,Wed?ug zg?oszenia,ul. Dubois pojazdy nieuprawnione na kopertach dla pojazdów elektyrycznych.,NIEPRAWID?OWE PARKOWANIE ,DUBOISA / ,100,2018-04-19 15:00:21
2018-04-19 14:29:24,INT-16954/18,spo?ywanie alkoholu,SPO?YWANIE ALKOHOLU ,WRÓBLEWSKIEGO / ,MANDAT ,200,2018-04-19 14:52:29
2018-04-20 08:40:00,INT-17127/18,HANDEL ,HANDEL ,JEMIO?OWA / ,MANDAT ,50,2018-04-20 16:27:16
2018-04-20 10:17:28,INT-17051/18,parkowanie za,d40 poza miejscem wyznaczonym ,NIEPRAWID?OWE PARKOWANIE ,LEGNICKA 17/ ,100,2018-04-20 14:26:33
2018-04-20 10:30:00,INT-17136/18,B 36,NIEPRAWID?OWE PARKOWANIE ,PLAC SOLNY / ,MANDAT ,100,2018-04-20 17:42:40
2018-04-20 10:31:13,INT-17058/18,nieprawidlowe parkowanie,"pojazdów na chodniku za znakiem zakazu, godz: 15.00 - ponowne zg?oszenie",NIEPRAWID?OWE PARKOWANIE ,?OKIETKA 4 - 10/ ,0,2018-04-20 17:53:06
2018-04-20 11:35:26,INT-17077/18,PARKOWANIE NA,KOPERCIE DLA VOZILLI ,BLOKADA ,WRO?SKIEGO / ,100,2018-04-20 11:35:43
2018-04-20 11:35:26,INT-17077/18,PARKOWANIE NA KOPERCIE DLA VOZILLI,BLOKADA ,WRO?SKIEGO / ,0,,2018-04-20 11:35:43
2018-04-20 12:00:56,INT-17086/18,PARKOWANIE NA KOPERCIE VOZILLI BEZ,UPRAWNIE? ,BLOKADA ,WYBRZE?E WYSPIA?SKIEGO / ,0,2018-04-20 12:01:54
2018-04-20 12:05:36,INT-17090/18,PARKOWANIE NA KOPERCIE VOZILLI BEZ,UPRAWNIE? ,BLOKADA ,NORWIDA / ,100,2018-04-20 12:05:59
